0.000214285	1	1	0	5.55938e-12	11720.2
0.00121429	1	1	0	5.5591e-12	11719.6
0.00221428	1	1	0	5.55881e-12	11719
0.00321428	1	1	0	5.55853e-12	11718.4
0.00421428	1	1	0	5.55824e-12	11717.8
0.00521428	1	1	0	5.55796e-12	11717.2
0.00621428	1	1	0	5.55767e-12	11716.6
0.00721428	1	1	0	5.55739e-12	11716
0.00821428	1	1	0	5.5571e-12	11715.4
0.00921428	1	1	0	5.55682e-12	11714.8
0.0102143	1	1	0	5.55653e-12	11714.2
0.0112143	1	1	0	5.55625e-12	11713.6
0.0122143	1	1	0	5.55597e-12	11713
0.0132143	1	1	0	5.55568e-12	11712.4
0.0142143	1	1	0	5.5554e-12	11711.8
0.0152143	1	1	0	5.55511e-12	11711.2
0.0162143	1	1	0	5.55483e-12	11710.6
0.0172143	1	1	0	5.55454e-12	11710
0.0182143	1	1	0	5.55426e-12	11709.4
0.0192143	1	1	0	5.55397e-12	11708.8
0.0202143	1	1	0	5.55369e-12	11708.2
0.0212143	1	1	3	5.55341e-12	11707.6
0.0222143	1	1	3	5.55312e-12	11707
0.0232143	1	1	3	5.55284e-12	11706.4
0.0242143	1	1	3	5.55255e-12	11705.8
0.0252143	1	1	3	5.55227e-12	8.44012
0.0262143	1	1	3	5.55198e-12	8.43963
0.0272143	1	1	3	5.5517e-12	8.43915
0.0282143	1	1	3	5.55141e-12	8.43866
0.0292143	1	1	3	5.55113e-12	11702.8
0.0302143	1	1	3	5.55085e-12	11702.2
0.0312143	1	1	3	5.55056e-12	11701.6
0.0322143	1	1	3	5.55028e-12	8.43672
0.0332143	1	1	3	5.54999e-12	8.43624
0.0342143	1	1	3	5.54971e-12	8.43575
0.0352143	1	1	3	5.54943e-12	8.43527
0.0362143	1	1	3	5.54914e-12	8.43478
0.0372143	1	1	3	5.54886e-12	8.4343
0.0382143	1	1	3	5.54857e-12	8.43381
0.0392143	1	1	3	5.54829e-12	8.43333
0.0402143	1	1	3	5.54801e-12	8.43284
0.0412143	1	1	3	5.54772e-12	8.43236
0.0422143	1	1	3	5.54744e-12	8.43187
0.0432143	1	1	3	5.54715e-12	8.43139
0.0442143	1	1	3	5.54687e-12	8.4309
0.0452143	1	1	3	5.54659e-12	8.43042
0.0462143	1	1	3	5.5463e-12	8.42994
0.0472143	1	1	3	5.54602e-12	8.42945
0.0482143	1	1	3	5.54573e-12	8.42897
0.0492143	1	1	3	5.54545e-12	8.42848
0.0502143	1	1	3	5.54517e-12	8.428
0.0512143	1	1	3	5.54488e-12	8.42751
0.0522143	1	1	3	5.5446e-12	8.42703
0.0532143	1	1	3	5.54432e-12	8.42655
0.0542143	1	1	3	5.54403e-12	8.42606
0.0552143	1	1	3	5.54375e-12	8.42558
0.0562143	1	1	3	5.54346e-12	8.42509
0.0572143	1	1	3	5.54318e-12	8.42461
0.0582143	1	1	3	5.5429e-12	8.42413
0.0592143	1	1	3	5.54261e-12	8.42364
0.0602143	1	1	3	5.54233e-12	8.42316
0.0612143	1	1	3	5.54205e-12	8.42267
0.0622143	1	1	3	5.54176e-12	8.42219
0.0632143	1	1	3	5.54148e-12	8.42171
0.0642143	1	1	3	5.5412e-12	8.42122
0.0652143	1	1	3	5.54091e-12	8.42074
0.0662143	1	1	3	5.54063e-12	8.42025
0.0672143	1	1	3	5.54035e-12	8.41977
0.0682143	1	1	3	5.54006e-12	8.41929
0.0692143	1	1	3	5.53978e-12	8.4188
0.0702143	1	1	3	5.5395e-12	8.41832
0.0712143	1	1	3	5.53921e-12	8.41784
0.0722143	1	1	3	5.53893e-12	8.41735
0.0732143	1	1	3	5.53865e-12	8.41687
0.0742143	1	1	3	5.53836e-12	8.41639
0.0752143	1	1	3	5.53808e-12	8.4159
0.0762143	1	1	3	5.5378e-12	8.41542
0.0772143	1	1	3	5.53751e-12	8.41494
0.0782143	1	1	3	5.53723e-12	8.41445
0.0792143	1	1	3	5.53695e-12	8.41397
0.0802143	1	1	3	5.53666e-12	8.41349
0.0812143	1	1	3	5.53638e-12	8.413
0.0822143	1	1	3	5.5361e-12	8.41252
0.0832143	1	1	3	5.53581e-12	8.41204
0.0842143	1	1	3	5.53553e-12	8.41155
0.0852143	1	1	3	5.53525e-12	8.41107
0.0862143	1	1	3	5.53497e-12	8.41059
0.0872143	1	1	3	5.53468e-12	8.41011
0.0882143	1	1	3	5.5344e-12	8.40962
0.0892143	1	1	3	5.53412e-12	8.40914
0.0902143	1	1	3	5.53383e-12	8.40866
0.0912143	1	1	3	5.53355e-12	8.40817
0.0922143	1	1	3	5.53327e-12	8.40769
0.0932143	1	1	3	5.53298e-12	8.40721
0.0942143	1	1	3	5.5327e-12	8.40673
0.0952143	1	1	3	5.53242e-12	8.40624
0.0962143	1	1	3	5.53214e-12	8.40576
0.0972143	1	1	3	5.53185e-12	8.40528
0.0982143	1	1	3	5.53157e-12	8.4048
0.0992143	1	1	3	5.53129e-12	8.40431
0.100214	1	1	3	5.53101e-12	8.40383
0.101214	1	1	3	5.53072e-12	8.40335
0.102214	1	1	3	5.53044e-12	8.40287
0.103214	1	1	3	5.53016e-12	8.40239
0.104214	1	1	3	5.52987e-12	8.4019
0.105214	1	1	3	5.52959e-12	8.40142
0.106214	1	1	3	5.52931e-12	8.40094
0.107214	1	1	3	5.52903e-12	8.40046
0.108214	1	1	3	5.52874e-12	8.39997
0.109214	1	1	3	5.52846e-12	8.39949
0.110214	1	1	3	5.52818e-12	8.39901
0.111214	1	1	3	5.5279e-12	8.39853
0.112214	1	1	3	5.52761e-12	8.39805
